rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
335,12/1,11/30,20000,125,img/2013 (335).jpg,50,13,img/2014 (335).jpg,465,448,img/2015 (335).jpg,170,129,img/2016 (335).jpg,98,58,img/2017 (335).jpg,120,166,img/2018 (335).jpg
336,12/2,12/1,20000,140,img/2013 (336).jpg,23,14.2,img/2014 (336).jpg,12,8,img/2015 (336).jpg,26,7,img/2016 (336).jpg,169,128,img/2017 (336).jpg,216,97,img/2018 (336).jpg
337,12/3,12/2,20000,82,img/2013 (337).jpg,34,12.6,img/2014 (337).jpg,12,8,img/2015 (337).jpg,88,65,img/2016 (337).jpg,49,34,img/2017 (337).jpg,430,23,img/2018 (337).jpg
338,12/4,12/3,20000,113,img/2013 (338).jpg,39,7.1,img/2014 (338).jpg,13,8,img/2015 (338).jpg,101,76,img/2016 (338).jpg,15,4,img/2017 (338).jpg,75,32,img/2018 (338).jpg
339,12/5,12/4,20000,33,img/2013 (339).jpg,16,3.3,img/2014 (339).jpg,33,22,img/2015 (339).jpg,400,350,img/2016 (339).jpg,61,41,img/2017 (339).jpg,72,5,img/2018 (339).jpg
340,12/6,12/5,20000,182,img/2013 (340).jpg,32,19.1,img/2014 (340).jpg,215,165,img/2015 (340).jpg,86,64,img/2016 (340).jpg,90,46,img/2017 (340).jpg,18,6,img/2018 (340).jpg
341,12/7,12/6,20000,172,img/2013 (341).jpg,68,46,img/2014 (341).jpg,234,184,img/2015 (341).jpg,89,66,img/2016 (341).jpg,29,10,img/2017 (341).jpg,25,5,img/2018 (341).jpg
342,12/8,12/7,20000,379,img/2013 (342).jpg,27,11.6,img/2014 (342).jpg,372,322,img/2015 (342).jpg,193,145,img/2016 (342).jpg,32,17,img/2017 (342).jpg,37,31,img/2018 (342).jpg
343,12/9,12/8,20000,11,img/2013 (343).jpg,358,307.5,img/2014 (343).jpg,302,252,img/2015 (343).jpg,253,203,img/2016 (343).jpg,33,22,img/2017 (343).jpg,61,45,img/2018 (343).jpg
344,12/10,12/9,20000,29,img/2013 (344).jpg,321,271.1,img/2014 (344).jpg,291,241,img/2015 (344).jpg,15,4,img/2016 (344).jpg,78,6,img/2017 (344).jpg,63,11,img/2018 (344).jpg
345,12/11,12/10,20000,23,img/2013 (345).jpg,16,11,img/2014 (345).jpg,38,19,img/2015 (345).jpg,30,20,img/2016 (345).jpg,20,4,img/2017 (345).jpg,59,21,img/2018 (345).jpg
346,12/12,12/11,20000,10,img/2013 (346).jpg,24,10.3,img/2014 (346).jpg,222,172,img/2015 (346).jpg,283,233,img/2016 (346).jpg,11,6,img/2017 (346).jpg,42,5,img/2018 (346).jpg
347,12/13,12/12,20000,92,img/2013 (347).jpg,36,14.4,img/2014 (347).jpg,160,122,img/2015 (347).jpg,280,230,img/2016 (347).jpg,64,23,img/2017 (347).jpg,26,30,img/2018 (347).jpg
348,12/14,12/13,20000,53,img/2013 (348).jpg,129,84,img/2014 (348).jpg,314,292,img/2015 (348).jpg,17,6,img/2016 (348).jpg,91,68,img/2017 (348).jpg,52,90,img/2018 (348).jpg
349,12/15,12/14,20000,22,img/2013 (349).jpg,99,63.3,img/2014 (349).jpg,21,13,img/2015 (349).jpg,19,5,img/2016 (349).jpg,56,40,img/2017 (349).jpg,119,124,img/2018 (349).jpg
350,12/16,12/15,20000,88,img/2013 (350).jpg,40,7.6,img/2014 (350).jpg,13,7,img/2015 (350).jpg,45,7,img/2016 (350).jpg,59,7,img/2017 (350).jpg,165,7,img/2018 (350).jpg
351,12/17,12/16,20000,40,img/2013 (351).jpg,71,52,img/2014 (351).jpg,32,9,img/2015 (351).jpg,51,36,img/2016 (351).jpg,75,31,img/2017 (351).jpg,29,35,img/2018 (351).jpg
352,12/18,12/17,20000,12,img/2013 (352).jpg,186,140.2,img/2014 (352).jpg,94,70,img/2015 (352).jpg,151,116,img/2016 (352).jpg,54,7,img/2017 (352).jpg,62,20,img/2018 (352).jpg
